日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
 105/10/03,"3,002,161,742","55,597,456,402","571,417","9,234.20",67.35
 105/10/04,"3,066,078,644","62,014,403,325","661,773","9,287.77",53.57
 105/10/05,"3,002,597,984","60,936,666,203","615,998","9,272.28",-15.49
 105/10/06,"3,137,942,343","63,331,394,814","633,418","9,284.31",12.03
 105/10/07,"2,981,282,506","63,235,529,397","653,647","9,265.81",-18.5
 105/10/11,"4,127,460,101","89,690,544,555","874,057","9,219.82",-45.99
 105/10/12,"3,407,399,739","66,304,575,010","649,095","9,252.60",32.78
 105/10/13,"3,342,252,755","75,218,324,164","714,011","9,219.17",-33.43
 105/10/14,"3,222,233,294","67,985,163,367","656,200","9,165.17",-54
